"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","tsc_tree_cover_loss_drivers__type"
2012,600318.4577752656,8824.202740911836,1100583.8392546542,"Commodity driven deforestation"
2001,324056.64821143495,4373.814322112363,594103.8550542976,"Commodity driven deforestation"
2004,407131.352177689,5451.986788930142,746407.4789924299,"Commodity driven deforestation"
2013,302163.2312504111,4763.738452364233,553965.9239590869,"Commodity driven deforestation"
2006,502084.32914668595,7033.425365638792,920487.9367689239,"Commodity driven deforestation"
2010,280226.5284785285,3590.5567106515664,513748.63554396905,"Commodity driven deforestation"
2007,293639.97925371013,3855.8198848476463,538339.9619651353,"Commodity driven deforestation"
2008,306692.9310203702,4402.7962781648985,562270.3735373456,"Commodity driven deforestation"
2009,256863.21595213466,3467.9168008356282,470915.895912247,"Commodity driven deforestation"
2005,454203.84207150975,5972.277726311617,832707.0437977682,"Commodity driven deforestation"
2003,292305.29382629984,3813.561615335224,535893.0386815496,"Commodity driven deforestation"
2014,320493.8539839299,5493.958483876368,587572.0656372047,"Commodity driven deforestation"
2011,223142.17110755865,3090.699118758749,409093.9803638575,"Commodity driven deforestation"
2019,485972.7230029204,7249.109803561758,890949.9921720204,"Commodity driven deforestation"
2016,494918.41356127313,7843.483838501486,907350.424862334,"Commodity driven deforestation"
2018,378435.69816741114,6208.10613965095,693798.7799735869,"Commodity driven deforestation"
2017,508852.60244085104,7627.856721480728,932896.4378082274,"Commodity driven deforestation"
2015,258298.4232066002,4016.9460997099986,473547.1092121004,"Commodity driven deforestation"
2016,1052754.0221280975,11697.802597127038,1930049.040568191,"Urbanization"
2008,791979.9936382627,5908.525561276409,1451963.3216701485,"Urbanization"
2017,646978.1482015477,5776.425096363142,1186126.6050361707,"Urbanization"
2005,903555.9389521014,6556.337106027304,1656519.2214121858,"Urbanization"
2012,610153.0979128196,5100.71035064319,1118614.012840169,"Urbanization"
2018,668872.3994344027,5693.104193880848,1226266.0656297382,"Urbanization"
2019,621990.6030888259,5202.046903417724,1140316.1056628472,"Urbanization"
2001,538608.1322077153,4182.875743463383,987448.2423808114,"Urbanization"
2006,914862.2955044557,7118.691782253674,1677247.5417581692,"Urbanization"
2004,1534795.3275879745,11272.700220645353,2813791.4339112854,"Urbanization"
2010,512871.17342998576,4242.145450999459,940263.8179549744,"Urbanization"
2009,554732.5204121529,4727.380820725698,1017009.6207556137,"Urbanization"
2007,912165.5924482066,6485.1774233986125,1672303.586155046,"Urbanization"
2002,692519.6067189241,4966.427819960708,1269619.2789846943,"Urbanization"
2011,354721.13363919285,3065.1868996930475,650322.0783385201,"Urbanization"
2003,826290.1061110062,5867.973274170807,1514865.1945368433,"Urbanization"
2014,455993.34111396945,3783.7221956562053,835987.7920422772,"Urbanization"
2013,385169.90359598154,3256.6122091362827,706144.8232592994,"Urbanization"
2015,455732.6806305435,4004.066164671446,835509.9144893297,"Urbanization"
2014,16402.658013990098,212.89556162060373,30071.53969231517,"Shifting agriculture"
2009,14318.438308547613,170.97868590882925,26250.4702323373,"Shifting agriculture"
2016,28030.399508743794,394.32295152475547,51389.06576603027,"Shifting agriculture"
2002,21312.177473526714,194.00542737988027,39072.325368132304,"Shifting agriculture"
2003,14487.39185561599,144.42786823296746,26560.21840196266,"Shifting agriculture"
2005,24860.04857969865,233.24635967483528,45576.755729447475,"Shifting agriculture"
2019,21272.290187705454,264.9067628839257,38999.19867746001,"Shifting agriculture"
2012,28798.687202103047,267.47046205080494,52797.59320385558,"Shifting agriculture"
2004,69290.27222606326,686.8652314449175,127032.16574778256,"Shifting agriculture"
2006,28682.501420732275,247.532187757517,52584.585938009186,"Shifting agriculture"
2017,36128.15419413331,460.43479555625606,66234.9493559112,"Shifting agriculture"
2013,8431.25187588201,108.8412926351034,15457.295105783689,"Shifting agriculture"
2018,28450.208837907816,366.2314847726789,52158.71620283102,"Shifting agriculture"
2007,21205.71367463246,174.06696404072545,38877.141736826175,"Shifting agriculture"
2010,10511.291380584498,103.2076438259583,19270.700864404913,"Shifting agriculture"
2001,24656.12271311664,247.75194148604695,45202.89164071384,"Shifting agriculture"
2008,14244.476701088186,132.5827794270766,26114.873951995007,"Shifting agriculture"
2015,8328.564425381825,114.7715138386023,15269.03477986668,"Shifting agriculture"
2011,20453.130153753667,184.72519548178713,37497.405281881714,"Shifting agriculture"
