"umd_tree_cover_loss__year","whrc_aboveground_biomass_loss__Mg","umd_tree_cover_loss__ha","whrc_aboveground_co2_emissions__Mg","tsc_tree_cover_loss_drivers__type"
2008,45741.45351340799,287.1343174716761,83859.33144124798,"Commodity driven deforestation"
2019,26473.345632389315,174.63933235324103,48534.46699271373,"Commodity driven deforestation"
2014,24653.947459641793,190.81336350977335,45198.90367600999,"Commodity driven deforestation"
2015,26845.001085872653,206.57849362362973,49215.835324099884,"Commodity driven deforestation"
2007,42584.81136262751,394.8721062857404,78072.15416481704,"Urbanization"
2014,24244.099682507287,220.86571535113694,44447.516084596704,"Urbanization"
2001,7989.345025570734,78.96357856580467,14647.132546879677,"Urbanization"
2005,11133.238112698988,104.52237389972109,20410.936539948143,"Urbanization"
2013,29858.485192211974,236.60827192043644,54740.556185721915,"Urbanization"
2017,18796.16340284466,189.45136094241448,34459.63290521521,"Urbanization"
2018,20361.395436321312,228.87864246203407,37329.22496658907,"Urbanization"
2006,17273.643055947345,173.06665804481378,31668.345602570127,"Urbanization"
2009,30715.52580304566,276.05435183023843,56311.79730558376,"Urbanization"
2012,39055.44891422603,324.0879853115158,71601.65634274772,"Urbanization"
2002,7232.422534390899,71.92931608411257,13259.441313049982,"Urbanization"
2016,22981.228000812836,238.0341148620643,42132.25133482352,"Urbanization"
2019,16953.885903019625,181.49400700550262,31082.124155535974,"Urbanization"
2004,10219.894924854485,93.66964247752166,18736.47402889989,"Urbanization"
2010,22679.99178268133,201.6930826574445,41579.98493491575,"Urbanization"
2011,31433.6341322775,270.46781529565857,57628.32924250874,"Urbanization"
2015,12915.92444307042,115.7714872382029,23679.19481229577,"Urbanization"
2003,10116.29905666684,82.70751389418815,18546.54827055588,"Urbanization"
2008,17693.724485614162,163.14492318252516,32438.49489029265,"Urbanization"
2002,11131.100635210476,90.22972894079214,20407.0178312192,"Shifting agriculture"
2004,16580.502847806078,120.09901643252539,30397.588554311136,"Shifting agriculture"
2017,53108.820276803715,377.3883793257417,97366.17050747351,"Shifting agriculture"
2007,18421.755329531567,144.5850851264734,33773.218104141204,"Shifting agriculture"
2013,89782.73792122089,631.4972952815988,164601.6861889048,"Shifting agriculture"
2016,58122.52858855145,435.2658513119321,106557.96907901084,"Shifting agriculture"
2005,24791.617659162817,206.3250388720553,45451.299041798484,"Shifting agriculture"
2006,24823.798518088057,198.0880279629221,45510.2972831614,"Shifting agriculture"
2018,25810.887521437042,186.13370491295416,47319.960455967914,"Shifting agriculture"
2003,16949.280380880595,137.0760888976036,31073.680698281078,"Shifting agriculture"
2010,89633.94935728986,793.7637236921803,164328.90715503076,"Shifting agriculture"
2012,128611.52748337509,912.6730294268438,235787.80038618768,"Shifting agriculture"
2014,45524.035415095976,364.4673151287827,83460.73159434272,"Shifting agriculture"
2001,13931.743108190545,115.57641162284939,25541.52903168267,"Shifting agriculture"
2008,12106.399347004311,106.63539666701467,22195.065469507896,"Shifting agriculture"
2009,18956.08891024711,151.31529421849933,34752.829668786355,"Shifting agriculture"
2011,365878.24267335574,2573.1645473781214,670776.7782344851,"Shifting agriculture"
2019,22016.48519064043,157.3851563586739,40363.556182840795,"Shifting agriculture"
2015,91837.22483969029,660.666977664926,168368.24553943286,"Shifting agriculture"
